x;y;z;u;v;nx;ny;nz;tx;ty;tz;bx;by;bz;column;row
-1206.4046;1595.6268;1999.9897;0.0000;0.0000;0.5951;-0.8037;-0.0001;0.8037;0.5951;0.0001;-0.0001;-0.0002;1.0000;0;0
-1141.3531;1642.1474;1999.9989;0.0345;0.0000;0.5674;-0.8235;-0.0001;0.8235;0.5674;0.0001;-0.0000;-0.0002;1.0000;1;0
-1073.1015;1687.3529;2000.0051;0.0690;0.0000;0.5362;-0.8441;-0.0001;0.8441;0.5362;0.0001;0.0000;-0.0001;1.0000;2;0
-1001.6317;1730.7970;2000.0087;0.1034;0.0000;0.5020;-0.8649;-0.0001;0.8649;0.5020;0.0000;0.0000;-0.0001;1.0000;3;0
-926.9844;1772.0681;2000.0103;0.1379;0.0000;0.4651;-0.8852;-0.0002;0.8852;0.4651;0.0000;0.0001;-0.0001;1.0000;4;0
-849.2546;1810.7886;2000.0104;0.1724;0.0000;0.4261;-0.9047;-0.0001;0.9047;0.4261;-0.0000;0.0001;-0.0001;1.0000;5;0
-768.5868;1846.6153;2000.0092;0.2069;0.0000;0.3853;-0.9228;-0.0001;0.9228;0.3853;-0.0000;0.0001;-0.0001;1.0000;6;0
-685.1700;1879.2394;2000.0073;0.2414;0.0000;0.3429;-0.9394;-0.0001;0.9394;0.3429;-0.0000;0.0001;-0.0001;1.0000;7;0
-599.2334;1908.3862;2000.0049;0.2759;0.0000;0.2992;-0.9542;-0.0001;0.9542;0.2992;-0.0000;0.0001;-0.0001;1.0000;8;0
-511.0416;1933.8155;2000.0023;0.3103;0.0000;0.2546;-0.9670;-0.0001;0.9670;0.2546;-0.0000;0.0001;-0.0001;1.0000;9;0
-420.8898;1955.3214;1999.9998;0.3448;0.0000;0.2093;-0.9779;-0.0001;0.9779;0.2093;-0.0000;0.0000;-0.0001;1.0000;10;0
-329.0989;1972.7321;1999.9975;0.3793;0.0000;0.1633;-0.9866;-0.0001;0.9866;0.1633;-0.0000;0.0000;-0.0001;1.0000;11;0
-236.0112;1985.9105;1999.9957;0.4138;0.0000;0.1169;-0.9931;-0.0001;0.9931;0.1169;-0.0000;0.0000;-0.0001;1.0000;12;0
-141.9854;1994.7534;1999.9944;0.4483;0.0000;0.0703;-0.9975;-0.0001;0.9975;0.0703;-0.0000;0.0000;-0.0001;1.0000;13;0
-47.3920;1999.1923;1999.9937;0.4828;0.0000;0.0234;-0.9997;-0.0001;0.9997;0.0234;-0.0000;0.0000;-0.0001;1.0000;14;0
47.3914;1999.1927;1999.9936;0.5172;0.0000;-0.0234;-0.9997;-0.0001;0.9997;-0.0234;0.0000;-0.0000;-0.0001;1.0000;15;0
141.9848;1994.7546;1999.9943;0.5517;0.0000;-0.0703;-0.9975;-0.0001;0.9975;-0.0703;0.0000;-0.0000;-0.0001;1.0000;16;0
236.0107;1985.9123;1999.9955;0.5862;0.0000;-0.1169;-0.9931;-0.0001;0.9931;-0.1169;0.0000;-0.0000;-0.0001;1.0000;17;0
329.0986;1972.7345;1999.9973;0.6207;0.0000;-0.1633;-0.9866;-0.0001;0.9866;-0.1633;0.0000;-0.0000;-0.0001;1.0000;18;0
420.8898;1955.3240;1999.9995;0.6552;0.0000;-0.2093;-0.9779;-0.0001;0.9779;-0.2093;0.0000;-0.0000;-0.0001;1.0000;19;0
511.0419;1933.8183;2000.0019;0.6897;0.0000;-0.2546;-0.9670;-0.0001;0.9670;-0.2546;0.0000;-0.0001;-0.0001;1.0000;20;0
599.2340;1908.3888;2000.0043;0.7241;0.0000;-0.2992;-0.9542;-0.0001;0.9542;-0.2992;0.0000;-0.0001;-0.0001;1.0000;21;0
685.1708;1879.2417;2000.0066;0.7586;0.0000;-0.3429;-0.9394;-0.0001;0.9394;-0.3429;0.0000;-0.0001;-0.0001;1.0000;22;0
768.5879;1846.6171;2000.0084;0.7931;0.0000;-0.3853;-0.9228;-0.0001;0.9228;-0.3853;0.0000;-0.0001;-0.0001;1.0000;23;0
849.2559;1810.7897;2000.0094;0.8276;0.0000;-0.4261;-0.9047;-0.0001;0.9047;-0.4261;0.0000;-0.0001;-0.0001;1.0000;24;0
926.9857;1772.0685;2000.0092;0.8621;0.0000;-0.4651;-0.8852;-0.0002;0.8852;-0.4651;-0.0000;-0.0001;-0.0001;1.0000;25;0
1001.6329;1730.7968;2000.0075;0.8966;0.0000;-0.5020;-0.8649;-0.0001;0.8649;-0.5020;-0.0000;-0.0000;-0.0001;1.0000;26;0
1073.1024;1687.3524;2000.0037;0.9310;0.0000;-0.5362;-0.8441;-0.0001;0.8441;-0.5362;-0.0001;-0.0000;-0.0001;1.0000;27;0
1141.3535;1642.1472;1999.9975;0.9655;0.0000;-0.5674;-0.8235;-0.0001;0.8235;-0.5674;-0.0001;0.0000;-0.0002;1.0000;28;0
1206.4041;1595.6276;1999.9883;1.0000;0.0000;-0.5951;-0.8037;-0.0001;0.8037;-0.5951;-0.0001;0.0001;-0.0002;1.0000;29;0
-1206.4024;1595.6322;1920.6116;0.0000;0.0526;0.5951;-0.8037;0.0000;0.8036;0.5950;-0.0162;0.0130;0.0096;0.9999;0;1
-1141.3512;1642.1554;1919.3439;0.0345;0.0526;0.5674;-0.8234;-0.0000;0.8233;0.5673;-0.0155;0.0128;0.0088;0.9999;1;1
-1073.0999;1687.3624;1918.1098;0.0690;0.0526;0.5362;-0.8441;-0.0000;0.8440;0.5361;-0.0146;0.0124;0.0078;0.9999;2;1
-1001.6303;1730.8073;1916.9220;0.1034;0.0526;0.5020;-0.8649;-0.0001;0.8648;0.5019;-0.0137;0.0119;0.0068;0.9999;3;1
-926.9832;1772.0784;1915.7922;0.1379;0.0526;0.4651;-0.8852;-0.0001;0.8852;0.4651;-0.0127;0.0113;0.0059;0.9999;4;1
-849.2536;1810.7984;1914.7310;0.1724;0.0526;0.4261;-0.9047;-0.0001;0.9046;0.4261;-0.0117;0.0106;0.0049;0.9999;5;1
-768.5859;1846.6242;1913.7483;0.2069;0.0526;0.3852;-0.9228;-0.0001;0.9228;0.3852;-0.0106;0.0098;0.0040;0.9999;6;1
-685.1693;1879.2472;1912.8526;0.2414;0.0526;0.3429;-0.9394;-0.0000;0.9393;0.3428;-0.0094;0.0089;0.0032;1.0000;7;1
-599.2328;1908.3928;1912.0520;0.2759;0.0526;0.2992;-0.9542;-0.0000;0.9541;0.2992;-0.0082;0.0079;0.0024;1.0000;8;1
-511.0412;1933.8209;1911.3530;0.3103;0.0526;0.2546;-0.9670;-0.0000;0.9670;0.2546;-0.0070;0.0068;0.0018;1.0000;9;1
-420.8894;1955.3257;1910.7617;0.3448;0.0526;0.2093;-0.9779;-0.0000;0.9778;0.2093;-0.0058;0.0056;0.0012;1.0000;10;1
