x;y;z;u;v;column;row
-1206.4046;1595.6268;1999.9897;0.0000;0.0000;0;0
-1141.3531;1642.1474;1999.9989;0.0345;0.0000;1;0
-1073.1015;1687.3529;2000.0051;0.0690;0.0000;2;0
-1001.6317;1730.7970;2000.0087;0.1034;0.0000;3;0
-926.9844;1772.0681;2000.0103;0.1379;0.0000;4;0
-849.2546;1810.7886;2000.0104;0.1724;0.0000;5;0
-768.5868;1846.6153;2000.0092;0.2069;0.0000;6;0
-685.1700;1879.2394;2000.0073;0.2414;0.0000;7;0
-599.2334;1908.3862;2000.0049;0.2759;0.0000;8;0
-511.0416;1933.8155;2000.0023;0.3103;0.0000;9;0
-420.8898;1955.3214;1999.9998;0.3448;0.0000;10;0
-329.0989;1972.7321;1999.9975;0.3793;0.0000;11;0
-236.0112;1985.9105;1999.9957;0.4138;0.0000;12;0
-141.9854;1994.7534;1999.9944;0.4483;0.0000;13;0
-47.3920;1999.1923;1999.9937;0.4828;0.0000;14;0
47.3914;1999.1927;1999.9936;0.5172;0.0000;15;0
141.9848;1994.7546;1999.9943;0.5517;0.0000;16;0
236.0107;1985.9123;1999.9955;0.5862;0.0000;17;0
329.0986;1972.7345;1999.9973;0.6207;0.0000;18;0
420.8898;1955.3240;1999.9995;0.6552;0.0000;19;0
511.0419;1933.8183;2000.0019;0.6897;0.0000;20;0
599.2340;1908.3888;2000.0043;0.7241;0.0000;21;0
685.1708;1879.2417;2000.0066;0.7586;0.0000;22;0
768.5879;1846.6171;2000.0084;0.7931;0.0000;23;0
849.2559;1810.7897;2000.0094;0.8276;0.0000;24;0
926.9857;1772.0685;2000.0092;0.8621;0.0000;25;0
1001.6329;1730.7968;2000.0075;0.8966;0.0000;26;0
1073.1024;1687.3524;2000.0037;0.9310;0.0000;27;0
1141.3535;1642.1472;1999.9975;0.9655;0.0000;28;0
1206.4041;1595.6276;1999.9883;1.0000;0.0000;29;0
-1206.4024;1595.6322;1920.6116;0.0000;0.0526;0;1
-1141.3512;1642.1554;1919.3439;0.0345;0.0526;1;1
-1073.0999;1687.3624;1918.1098;0.0690;0.0526;2;1
